,male,female,flames_result
3580,stephen ibarra,deanna riggs,Enemy
3581,paul martin,karen whitehead,Affection
3582,jay morris,alyssa clark,Affection
3583,andrew coleman,monica gamble,Marriage
3584,grant rojas,pamela king,Affection
3585,mark clayton,leslie davis,Friends
3586,daniel murphy,shirley cordova,Enemy
3587,michael gomez,brenda mccarthy,Affection
3588,eric walters,susan welch,Enemy
3589,stephen hayden,julia ingram,Friends
3590,robert coleman,cynthia park,Affection
3591,jeffery wright,anna chavez,Friends
3592,jonathan wells,heather williams dds,Love
3593,william burton,joyce humphrey,Friends
3594,scott burgess,vanessa thomas dvm,Marriage
3595,mitchell wright,cheryl massey,Marriage
3596,daniel rios,karina parker,Enemy
3597,andrew delgado,shannon wilson,Marriage
3598, peter stewart,abigail little,Friends
3599,donald jenkins,gina shaw,Love
3600,robert kerr,misty harris,Affection
3601,darin johnson,gina moore,Enemy
3602,michael odom,holly cooper,Affection
3603,peter chavez,alicia bright,Affection
3604,michael coleman,karla allen,Enemy
3605,andrew patel,elizabeth galloway,Marriage
3606,scott henderson,courtney johnson,Enemy
3607,nicholas reed,kristina estrada,Enemy
3608,timothy duran,jessica robinson,Friends
3609,robert evans,dawn morales,Enemy
3610,david webb,erin smith,Affection
3611,william shepherd,laura miller,Enemy
3612,michael jensen,laura myers,Love
3613,danny lester,virginia dunlap,Affection
3614,brett chandler,jessica jackson,Friends
3615,jason moreno,tara bishop dds,Affection
3616,evan gallegos,lisa perez,Enemy
3617,hector frederick,laura hardin,Marriage
3618,nicholas santos,raven quinn,Friends
3619,brandon ramirez,emily russell,Marriage
3620,mark johnson,kayla newman,Love
3621,luis jensen,heather gilmore,Marriage
3622,brian dickerson,linda martin,Enemy
3623,gary burns,lisa cruz,Affection
3624,william williams,valerie dean,Affection
3625,david bridges,shannon robinson,Marriage
3626,vincent perez,diana walker,Affection
3627,dr nathaniel holt,lisa torres,Affection
3628,dean phillips,jenna fowler,Affection
3629, connor price md,jessica novak,Marriage
3630,dennis romero,beth burke,Friends
3631,zachary adams,barbara murray,Affection
3632,john hatfield,cynthia griffin,Enemy
3633,alex herring,heather whitney,Enemy
3634,james gibson,amanda juarez,Love
3635,larry wilkinson,karen campbell,Affection
3636,mark meyer md,andrea carter,Affection
3637,eric daniels,sarah richard,Marriage
3638,brett deleon,tiffany quinn,Friends
3639,jeffrey michael,kari romero,Love
3640,samuel schmidt,penny rodriguez,Friends
3641,david fernandez,jasmine morrison,Affection
3642,kevin powell,grace booker,Affection
3643,matthew mooney jr,maria chen,Love
3644,brian schwartz,jessica grant,Enemy
3645,jason whitaker,rebecca day,Friends
3646,richard sheppard,danielle johnson,Friends
3647,jerry hughes,sara ochoa,Affection
3648,jeff morales,deanna cooper,Marriage
3649,dennis smith,tamara cohen,Marriage
3650,edwin thomas,jessica robertson,Enemy
3651,todd johnson,denise landry,Affection
3652,joe ingram,rachel williams,Marriage
3653,curtis gonzalez,kathryn bass,Affection
3654,john briggs,brenda johnson,Marriage
3655,kenneth holden,kathryn sanford,Marriage
3656,dennis taylor,evelyn flores,Marriage
3657,corey mcgrath,kelly smith,Affection
3658,matthew baker,emily owens,Friends
3659,andrew mills,kelly bailey,Love
3660,edward haley,colleen stevens,Friends
3661,dylan collins,angelica cruz,Enemy
3662,michael weaver,lisa arias,Love
3663,steve nelson,tonya beck,Enemy
3664,john mason,donna mitchell,Enemy
3665,george hart,jessica wilson,Friends
3666,michael patterson,rebecca tran,Affection
3667,derrick clay,amanda brown,Affection
3668,joseph roth,brandi valdez md,Enemy
3669,jason ball,sandra hall,Marriage
3670,dr benjamin robinson md,victoria ward,Friends
3671,jay hull,rachel mercado,Affection
3672,george chavez,sarah evans,Affection
3673,james perez,amy brown,Affection
3674,thomas watson,carly ponce,Friends
3675,john quinn,valerie sullivan,Marriage
3676,joseph alvarez,linda whitaker,Affection
3677,spencer velez,marie vasquez,Love
3678,edgar campos,sara howell,Enemy
3679,christopher delgado,brittany mclaughlin,Friends
3680,robert brady,jennifer williams,Friends
3681,jeffrey nelson,wanda barber,Friends
3682,joseph park,denise brown,Affection
3683,robert green,wendy west,Marriage
3684,jim barnes jr,sarah wright,Affection
3685,mitchell fields,amy lewis,Affection
3686,todd rios,patricia roberts,Affection
3687,john rivera,jennifer rodriguez,Affection
3688,matthew fields,jennifer thompson,Affection
3689,thomas bass,carla hill,Affection
3690,richard zimmerman,tracy moreno,Enemy
3691,jordan garcia,rachel hernandez,Marriage
3692,james rice, gabriela thomas dds,Marriage
3693,matthew kim,elizabeth costa,Love
3694,kevin rodriguez,desiree cohen,Affection
3695,steven graham,rachel ruiz,Marriage
3696,david simmons,emily keller,Affection
3697,francisco nelson,christine taylor,Friends
3698,daniel wagner,natalie bishop,Love
3699,christopher ramirez,miss madison white dvm,Affection
3700,martin rivera,bethany snyder,Love
3701,kyle ramirez,danielle walker,Marriage
3702,derek ramsey,jamie bryant,Affection
3703,randall rodriguez,april harris,Marriage
3704,mark moore,angela roberson,Enemy
3705,harold gonzalez,lindsay clark,Affection
3706,michael simpson,hailey lynch,Affection
3707,joel fitzgerald,robin howell,Marriage
3708,donald bowen,sarah payne,Affection
3709,jacob maxwell,olivia young,Friends
3710, grant herrera,jessica lopez,Enemy
3711,timothy tate,jennifer wilson,Affection
3712,cole ray,jennifer brooks,Affection
3713,david henderson,brandi graham,Affection
3714,anthony potts,heather reed,Friends
3715,joshua thomas,nancy sanders,Friends
3716,andrew foster,mary gonzalez md,Marriage
3717,christopher hall,alexandra nielsen,Affection
3718,tyler hicks,ashlee sims,Enemy
3719,brandon hodge,lisa king,Affection
3720,dylan knapp,melissa donovan,Affection
3721,aaron thomas,karla harris,Affection
3722,john williams,margaret young,Friends
3723,dennis perkins,stephanie johnson,Love
3724,gary barrett,kelly hale,Affection
3725,stephen ford,jamie dunn,Affection
3726,robert cordova,jodi johnson,Friends
3727,scott brooks,jessica johnson,Affection
3728,kevin beasley,deborah smith,Affection
3729,edward white,sarah craig,Love
3730,jason johnson,becky miller,Friends
3731,ryan jackson,stephanie roberts,Affection
3732,david johnson,megan black,Friends
3733,todd perez,lisa howard,Affection
3734,joseph lin,kristen murray,Friends
3735,christopher hawkins,deborah adams,Affection
3736,jose ball,jennifer hutchinson,Affection
3737,marcus stokes,nicole gardner,Affection
3738,james brown,tiffany boyd,Affection
3739,robert ball,rebecca morris,Affection
3740,kyle trujillo,emma le,Marriage
3741,brian stone,donna cook,Enemy
3742,rodney curtis,megan simpson,Affection
3743,logan long,anna tate,Enemy
3744,maurice ayala,anne ortiz,Love
3745,paul morris,megan miller,Affection
3746,jerry robbins,melissa russell,Affection
3747,mark robertson,kelly smith,Affection
3748,austin williams,wendy castillo,Enemy
3749,michael rivera,krista rowe,Love
3750,william davis jr,courtney wolf,Enemy
3751,corey cook,wendy franklin,Friends
3752,donald bowen,lindsey russell,Affection
3753,paul smith,pamela vaughan,Enemy
3754,richard green,ashley garcia,Friends
3755,jason stein,lisa smith,Affection
3756,victor allen,michelle bennett,Enemy
3757,thomas fox,beth thompson,Enemy
3758,taylor patel,angela jackson,Affection
3759,dr cody fisher,victoria randolph,Affection
3760,craig carter,alyssa alexander,Affection
3761,jeffery young md,olivia miller,Affection
3762,collin sanchez,jamie gardner,Friends
3763,gavin sanchez,melissa peterson,Marriage
3764,jeffrey perry,amy washington,Enemy
3765,lance adkins,stephanie ramsey,Love
3766,greg lopez,linda shepard,Affection
3767,matthew rodriguez jr,bonnie ramirez,Affection
3768,trevor houston,kristin thompson,Affection
3769,matthew davis,lauren barr,Friends
3770,anthony gutierrez,samantha johnson,Affection
3771,thomas white,holly hardin,Affection
3772, eric murphy,martha flynn,Affection
3773,kenneth newton,darlene riley,Friends
3774,michael farmer,angela phillips,Marriage
3775,david alvarado,emily roberts,Friends
3776,steven mathews,laura rice,Marriage
3777,gregory rush,jessica melendez,Friends
3778,brandon evans,cindy roberts,Enemy
3779,stephen ball,alicia skinner,Love
3780,sean floyd,dana zimmerman,Marriage
3781,joshua fox,lisa fletcher,Affection
3782,christopher wall,cynthia lewis,Marriage
3783,michael yang,emily jones,Affection
3784,joseph hall,evelyn johnson,Enemy
3785,william knox,denise young,Friends
3786,steven parker,valerie miles,Enemy
3787,david miller,alyssa horn,Affection
3788,jerry jones,elizabeth burton,Friends
3789,brandon fischer,angela armstrong,Marriage
3790,parker mclaughlin,patricia kane,Enemy
3791,richard martinez,vicki curtis,Affection
3792,eugene wilson,wendy warner,Marriage
3793,shawn bennett,elizabeth anderson,Enemy
3794,robert golden,christina barton,Affection
3795,christopher shaw,christine waters,Friends
3796,dustin owens,jessica thomas,Marriage
3797,brett kerr,hannah dorsey,Friends
3798,patrick lane,mary williamson,Marriage
3799,jacob charles,julie stephens,Affection
3800,alexander davis,deborah carr,Love
3801,dennis williams,donna sampson,Love
3802,theodore jordan,lisa george,Marriage
3803,benjamin jackson,sonia brock,Friends
3804,joseph jackson,sheryl barrera,Marriage
3805,michael white,rebecca rowland,Affection
3806,jeremiah ramirez,amber howard,Affection
3807,james garcia,dana reed,Enemy
3808,thomas glass,kylie roberts,Affection
3809,mark vaughan,kimberly roberts md,Love
3810,anthony foster,alyssa sanchez,Enemy
3811,gary gonzales,frances beard,Love
3812,richard nicholson,kristen figueroa,Affection
3813,matthew rollins,stacy gentry,Marriage
3814,peter reed,nancy waller,Affection
3815,justin campbell,andrea rodriguez,Affection
3816,andrew shaffer,kristin byrd,Friends
3817,daniel chase,shannon mckinney,Marriage
3818,stephen forbes,yvonne hill,Affection
3819,alan cox,maria hernandez,Affection
3820,steven hernandez,amber taylor,Affection
3821,zachary estes,diane cross,Affection
3822,gilbert morrison,tara baker,Affection
3823,steven lee,brittney johnson,Love
3824,david watkins,megan espinoza,Affection
3825,jimmy snyder phd,sandra cook,Marriage
3826,michael gutierrez,deborah miller,Affection
3827,kevin lucero,sherry morales,Affection
3828,peter shaw,erin johnson,Marriage
3829,mark banks,shelby robbins,Marriage
3830,william hanna,jasmine thompson,Marriage
3831,carlos green,taylor phillips,Affection
3832,shawn robbins,whitney blevins,Enemy
3833,joshua simpson,hannah harris,Affection
3834,christopher boyd,elizabeth chung,Friends
3835,james hill,rebecca stone,Affection
3836,stephen stanley,mary smith,Marriage
3837,nicholas martin,marissa lee,Affection
3838,jeffrey chambers,carolyn gross,Friends
3839,james griffith,andrea heath,Love
3840,benjamin wilson,susan smith,Enemy
3841,john duran,jennifer spencer,Friends
3842,christopher spence,tiffany roberts,Marriage
3843,levi newman,anne obrien,Enemy
3844,sean smith,catherine roth,Enemy
3845,jason bowman,mary sanchez,Marriage
3846,joseph phillips,valerie pugh,Enemy
3847,justin brennan,susan fields,Enemy
3848,jose everett,miss cindy casey dds,Friends
3849,chris gentry,christine smith,Friends
3850,timothy robinson,brandy underwood,Friends
3851,caleb schultz,allison terrell,Marriage
3852,andrew carter,erica ruiz,Affection
3853,eric adams,regina romero,Enemy
3854,terry anderson,tiffany smith,Affection
3855,keith chavez,april smith,Marriage
3856,logan miller,crystal everett,Affection
3857,edward cervantes,diana lambert,Affection
3858,joshua davis,amanda thomas,Affection
3859,timothy eaton,emily evans,Enemy
3860,christopher hernandez,ashley ward,Marriage
3861,james murray,jasmine cook,Love
3862,brandon ingram,krista christian,Affection
3863,ethan stewart,leslie wyatt,Enemy
3864,john christian,caitlyn wilson,Affection
3865,steven dennis,elizabeth morales,Marriage
3866,caleb cooper md,latoya moore,Enemy
3867,aaron barrera,alexis green,Enemy
3868,philip mitchell,margaret walker,Affection
3869,jesse wyatt md,sharon simmons,Marriage
3870,jeffery johnson,natalie dawson,Marriage
3871,ryan hill,dr amy peterson,Affection
3872,john williams,nancy castillo,Affection
3873,sean bryan,wendy hall,Affection
3874,henry levy,rebecca ellis,Marriage
3875,sean chapman,melissa wilson,Enemy
3876,john chan,jacqueline wilcox,Affection
3877,michael burton,leslie wheeler,Love
3878,david logan,jordan soto,Affection
3879,andrew drake,christina cunningham,Friends
3880,samuel coleman,lori trevino,Affection
3881,stephen kim,megan cruz,Affection
3882,james francis,nicole jimenez,Enemy
3883,jacob nelson,sara love,Enemy
3884,mark smith,alyssa thomas,Marriage
3885,eric diaz,michelle robbins,Affection
3886,edward jones,denise lozano,Marriage
3887,david campos,kristin evans,Affection
3888,robert gonzalez,rachel fuller,Affection
3889,william prince,erin bell,Marriage
3890,michael smith,kelly rivera,Affection
3891,mitchell long,cheryl garcia,Enemy
3892,james baker,alicia davis,Friends
3893,samuel castillo,meghan bernard,Friends
3894,mark ross,amber perez,Love
3895,steven evans,mary sandoval,Love
3896,jeffery harper,monica ramirez,Friends
3897,derrick moses,gina west,Affection
3898,thomas perry,cheryl stephens,Marriage
3899,david francis,shannon day,Enemy
3900,joseph hall,teresa woods,Love
3901,jason cantrell,sherry dawson,Enemy
3902,paul kennedy,amanda gonzales,Enemy
3903,tracy gross,cathy ortiz,Marriage
3904,joseph stevens,sheila graham,Friends
3905,jason kidd,rose martin,Enemy
3906,jonathan reynolds,christina boone,Affection
3907,ryan cummings,maria gibson,Friends
3908,jackson lewis,elizabeth bailey,Friends
3909,brian miranda,michele neal,Marriage
3910,george johnson,rebecca ingram,Affection
3911,bradley obrien,karen ruiz,Enemy
3912,daniel bryant,diane gardner,Friends
3913,brian barron,jennifer king,Marriage
3914,paul brown,jessica ballard,Affection
3915,nathan smith,veronica bass,Marriage
3916,austin martinez, nicole reynolds md,Marriage
3917,eric morton,rhonda davis,Marriage
3918,lawrence bryan,kathleen gonzalez,Affection
3919,joseph chung,kristy davis,Love
3920,scott morris,lindsay flores,Affection
3921,eric harris,lisa walker,Marriage
3922,james berry,penny jackson,Marriage
3923,scott perez,lauren chavez,Affection
3924,joseph scott,beverly goodman,Friends
3925,mathew salas,alicia norris,Affection
3926,jeffrey johnson,andrea mitchell,Affection
3927,charles baker,michelle sellers,Marriage
3928,nicholas smith,jennifer duran,Affection
3929,austin larsen,rachel roth,Love
3930,juan cohen,jennifer watts,Marriage
3931,michael morrison,ashley espinoza,Affection
3932,roy lewis,lisa howell,Enemy
3933,tanner owens,kelly petty,Friends
3934,angel clark,dawn barnes,Enemy
3935,christopher reyes,mary adams,Friends
3936,mark morgan,teresa daniels,Friends
3937,james becker,lori hernandez,Friends
3938,edward lambert,michelle ward,Friends
3939,george taylor,michelle jenkins,Love
3940,ryan wood,lisa cook,Love
3941,brent newman,madeline flores,Love
3942,corey edwards,angela burton,Affection
3943,derek vargas,ruth castillo,Marriage
3944,steven west,maria harvey,Marriage
3945,william ross,stacey boyd,Friends
3946,kevin hicks,maria johnson,Affection
3947,john mcdonald,catherine marquez dvm,Marriage
3948,randy charles,jessica norman,Affection
3949,benjamin bartlett,stephanie robertson,Enemy
3950,joshua stephens,courtney cardenas,Love
3951,jason mullins,jennifer johnson,Love
3952,kevin chapman,amy moreno,Love
3953,adam sanchez,kimberly young,Friends
3954,derek gonzalez,lindsay hampton,Marriage
3955,mark cisneros,sara meyers,Marriage
3956,jerry guzman,dawn gonzales,Marriage
3957,benjamin richardson,susan whitney,Affection
3958,nathaniel brown,anne merritt,Marriage
3959,jeff butler,jeanne salazar,Affection
3960,john bentley,susan horton,Marriage
3961,john white,tina walker,Enemy
3962,rodney goodwin,sandy thompson,Affection
3963,shane schwartz,dr bonnie payne,Marriage
3964,jeff chavez,kaylee alexander,Marriage
3965,michael osborne,meghan hall,Affection
3966,connor jackson,jenny peterson,Love
